Training Data Percentage,Mean Accuracy,Standard Deviation of Accuracy
1,0.5890414962010521,0.07196810834738733
2,0.6556670602125146,0.05191419821019473
3,0.7231067382230174,0.041362656517565065
4,0.7390596745027125,0.04375893566849109
5,0.7426309378806335,0.027592675898235854
6,0.761723076923077,0.03196660979853564
7,0.7670398009950249,0.028057810396385156
8,0.7842767295597484,0.01949989832207896
9,0.7954227590591227,0.02007088756568507
10,0.8001285347043702,0.018781027244476157
11,0.7992847854356306,0.023705027555885813
12,0.8024654832347142,0.02252177513272443
13,0.8148271276595744,0.020488543341901453
14,0.8146940147948889,0.015907704366336692
15,0.8268209666439754,0.01691376970487577
16,0.8272382920110193,0.01764251911577266
17,0.8386759581881533,0.02354689293222711
18,0.8357445306986593,0.017274740100553205
19,0.8478571428571428,0.01618609884803522
20,0.8524222704266091,0.012395676235900249
21,0.8537335285505125,0.012222626157212504
22,0.8510014836795252,0.014541336693725922
23,0.8603305785123968,0.01614173229159507
24,0.8635844748858448,0.0159234186447201
25,0.8657793209876543,0.017946202234719297
26,0.8629007036747458,0.012461485675442164
27,0.8637083993660857,0.013517212447885877
28,0.8677911646586345,0.011822245457332747
29,0.8676039119804401,0.012954269857936001
30,0.8717768595041322,0.01684060478538702
31,0.8702011735121541,0.013756245132941733
32,0.874404761904762,0.012255227596918182
33,0.8791450777202072,0.011813632471708828
34,0.8784837861524977,0.012549326356466784
35,0.8812277580071173,0.01061108580238128
36,0.8839963833634717,0.014573799972831397
37,0.8829660238751151,0.01372035733511437
38,0.8864272388059703,0.011382412841436295
39,0.8880094786729857,0.01037156987164384
40,0.8905014464802313,0.013279899997188895
41,0.8932843137254902,0.012347785260759457
42,0.8884845463609172,0.011040608350458595
43,0.8948223350253809,0.012518223465419986
44,0.8896177685950413,0.013080629749093887
45,0.8952681388012621,0.011875248035235646
46,0.8953961456102784,0.009297530124353116
47,0.8999454148471614,0.013192340478287217
48,0.9031701890989987,0.010718287831273871
49,0.9040816326530614,0.007120325835876458
50,0.9008680555555552,0.012910541118543176
51,0.904250295159386,0.010479779378053791
52,0.9032530120481926,0.012102887898578447
53,0.8996924969249692,0.013787527140465893
54,0.9148427672955975,0.009621613789817927
55,0.9093830334190234,0.011902480191164614
56,0.914060446780552,0.012378700500479048
57,0.9116935483870968,0.008742760412876022
58,0.9143250688705233,0.012146230129503357
59,0.914386459802539,0.013718994628520826
60,0.9157514450867051,0.010198872825776818
61,0.9103115727002965,0.009609330814406488
62,0.917732115677321,0.01102292941056924
63,0.9226562499999998,0.009925257789473289
64,0.9171749598715893,0.011365907523017972
65,0.919834710743802,0.015350558364468353
66,0.9235544217687075,0.009582469372955588
67,0.9232924693520139,0.013182633461687422
68,0.924502712477396,0.011745371660729283
69,0.9268656716417908,0.009758728978076128
70,0.9295761078998075,0.014629277604592858
71,0.9282868525896412,0.013436989604812816
72,0.9318181818181817,0.01354842670310332
73,0.9282655246252673,0.014212028698967979
74,0.933,0.010915500361785901
75,0.9362268518518517,0.011016062401325808
76,0.930843373493976,0.018033693727294138
77,0.9310301507537686,0.01144457882074445
78,0.9341207349081364,0.014914511963438714
79,0.9340220385674931,0.012334555005453957
80,0.9315028901734104,0.014132327373870131
81,0.9416413373860182,0.014211148604937348
82,0.9333333333333332,0.013845263504137919
83,0.9401360544217686,0.016711725845630257
84,0.9388086642599276,0.016244484525806145
85,0.9430769230769229,0.01583943098613384
86,0.944834710743802,0.012207579542745825
87,0.9417777777777777,0.013026089679780306
88,0.9454326923076921,0.015892677573140016
89,0.944502617801047,0.01926530836960639
90,0.9468208092485548,0.02175131528581129
91,0.9464743589743587,0.016871887420835716
92,0.9442446043165468,0.014365989602673266
93,0.9483471074380164,0.025050321597070546
94,0.948076923076923,0.02858859374484326
95,0.9379310344827587,0.029394739890906716
96,0.9542857142857143,0.019483116709979813
97,0.944230769230769,0.027801600566924906
98,0.9485714285714286,0.04295227536677976
99,0.9666666666666665,0.0477906959280146
